"","Operacion","Unidad","Lote","Bird","Fish","Fossil","Mammal","NOBONESINTHISBAG","Reptile","Shell","Unknown","TotalRow","phase"
"1","17","G22","220",6,0,0,10,0,0,0,0,16,1
"2","17","G22","221",1,0,0,8,0,0,0,2,11,1
"3","17","H19N","192",0,0,0,1,0,0,0,0,1,6
"4","17","H19N","200",0,0,0,4,0,0,0,0,4,5
"5","17","H19N","201",0,0,0,5,0,0,0,1,6,4
"6","17","H19N","202",0,0,0,2,0,0,0,0,2,3
"7","17","H20","117",2,0,0,11,0,0,0,0,13,5
"8","17","H20","139",3,0,0,1,0,0,0,0,4,3
"9","17","H20","196",0,0,0,5,0,0,0,0,5,3
"10","17","H20","197",0,0,0,2,0,1,0,0,3,3
"11","17","H20","213",0,0,0,2,0,0,0,0,2,1
"12","17","H21","124",1,0,0,6,0,0,0,0,7,5
"13","17","H21","125",0,0,0,2,0,0,0,0,2,5
"14","17","H21","194",0,3,0,22,0,0,0,1,26,5
"15","17","H21","195",0,0,0,13,0,1,0,0,14,4
"16","17","H21","215",0,0,0,1,0,0,0,0,1,4
"17","17","H21","89",0,0,0,2,0,0,0,0,2,6
"18","17","H22","141",0,0,0,0,0,0,0,0,0,5
"19","17","H22","170",0,0,0,2,0,0,0,1,3,4
"20","17","H22","214",1,0,0,5,0,0,0,0,6,4
"21","17","H22","218",0,0,0,5,0,0,0,0,5,4
"22","17","I16","103",1,0,0,35,0,0,0,0,36,NA
"23","17","I16","110",1,0,0,35,0,0,0,0,36,NA
"24","17","I16","114",0,0,0,4,0,0,0,0,4,NA
"25","17","I16","121",8,1,0,23,0,0,0,0,32,NA
"26","17","I16","123",1,0,0,11,0,0,0,0,12,NA
"27","17","I16","96",1,0,0,7,0,0,0,0,8,NA
"28","17","I17","76",4,1,0,107,0,1,0,1,114,NA
"29","17","I17","87",2,0,0,20,0,0,0,0,22,NA
"30","17","I19","136",1,0,0,15,0,0,0,0,16,5
"31","17","I19","143",1,0,0,37,0,2,0,0,40,4
"32","17","I19","167",2,0,0,22,0,0,1,9,34,3
"33","17","I19","183",4,0,0,24,0,0,0,0,28,2
"34","17","I19","186",5,0,0,50,0,0,2,0,57,1
"35","17","I20","113",0,0,0,27,0,0,0,4,31,4
"36","17","I20","135",0,0,0,4,0,0,0,0,4,3
"37","17","I20","146",0,0,0,4,0,0,0,0,4,5
"38","17","I20","153",0,1,0,10,0,0,0,1,12,3
"39","17","I20","155",0,0,0,5,0,0,0,0,5,2
"40","17","I20","163",8,0,0,15,0,0,0,0,23,2
"41","17","I20","174",0,0,0,19,0,0,0,0,19,1
"42","17","I20","176",1,0,0,8,0,0,0,0,9,1
"43","17","I20","40",0,0,0,8,0,0,0,0,8,5
"44","17","I21","112",1,0,0,12,0,0,0,0,13,4
"45","17","I21","133",2,0,0,3,0,0,0,0,5,3
"46","17","I21","156",1,0,0,16,0,0,0,2,19,2
"47","17","I21","171",1,0,0,0,0,0,0,0,1,1
"48","17","I21","173",1,0,0,2,0,0,0,1,4,1
"49","17","I21","41",0,0,0,7,0,0,0,0,7,5
"50","17","I22","100",0,0,0,10,0,0,0,0,10,4
"51","17","I22","212",3,1,1,19,0,1,0,1,26,1
"52","17","J16","95",0,0,0,14,0,0,0,0,14,NA
"53","17","J17","75",4,4,0,49,0,0,0,0,57,NA
"54","17","J19s","147",0,0,0,6,0,0,0,0,6,5
"55","17","J19s","152",2,0,0,4,0,0,0,0,6,4
"56","17","J19s","198",0,0,0,7,0,0,0,0,7,1
"57","17","J19S","184",0,0,0,15,0,0,0,0,15,3
"58","17","J19S","193",2,0,0,15,0,0,0,0,17,1
"59","17","J20","108",0,0,0,1,0,0,0,0,1,4
"60","17","J20","109",0,0,0,2,0,0,0,0,2,4
"61","17","J20","115",0,0,0,6,0,0,0,0,6,3
"62","17","J20","134",0,0,0,1,0,0,0,0,1,3
"63","17","J20","159",0,0,0,3,0,0,0,0,3,2
"64","17","J20","161",1,0,0,1,0,0,0,0,2,3
"65","17","J20","188",1,0,0,7,0,0,0,0,8,1
"66","17","J20","190",0,0,0,6,0,0,0,0,6,1
"67","17","J20","206",0,0,0,4,0,0,0,0,4,1
"68","17","J20","208",0,0,0,1,0,0,0,0,1,1
"69","17","J20 ","216",2,0,0,16,0,1,0,0,19,2
"70","17","J21","104",0,1,0,52,0,0,0,0,53,4
"71","17","J21","121",0,0,0,10,0,0,0,0,10,NA
"72","17","J21","157",3,0,0,11,0,0,1,2,17,2
"73","17","J21","160",1,0,0,6,0,0,0,0,7,2
"74","17","J21","20",0,0,0,12,0,0,1,0,13,5
"75","17","J21","21",2,0,0,28,0,0,0,0,30,5
"76","17","J22","101",3,0,0,20,0,0,0,0,23,4
"77","17","J22","132",0,0,0,12,0,0,0,0,12,3
"78","17","J22","151",2,0,0,11,0,0,0,0,13,NA
"79","17","J22","154",0,0,0,16,0,0,0,0,16,3
"80","17","J22","187",0,0,0,7,0,0,0,0,7,2
"81","17","J22","19",0,0,0,14,0,1,0,5,20,5
"82","17","J7","86",6,1,0,44,0,0,0,0,51,NA
"83","17","J8","45",0,0,0,2,0,1,0,0,3,NA
"84","17","K20","106",2,0,0,56,0,0,1,0,59,4
"85","17","K20","116",0,0,0,6,0,0,0,0,6,3
"86","17","K20","119",3,0,0,7,0,0,0,0,10,2
"87","17","K20","164",2,0,0,15,0,0,0,0,17,2
"88","17","K20","177",11,0,0,39,0,0,0,0,50,2
"89","17","K21","10",0,0,0,1,0,0,0,0,1,5
"90","17","K21","102",0,0,0,1,0,0,0,0,1,4
"91","17","K21","122 (121*)",5,0,0,9,0,0,0,0,14,NA
"92","17","K21","179",14,1,0,24,0,0,0,0,39,2
"93","17","K21","181",1,0,0,1,0,0,0,0,2,1
"94","17","K22","166",12,0,0,62,0,1,0,0,75,2
"95","17","K8","23",0,0,0,1,0,0,0,0,1,NA
"96","17","K9/J9","94",0,0,0,7,0,0,0,0,7,NA
"97","17","L21","334",0,0,0,9,0,0,0,0,9,NA
