Lote,Investigador,Fecha,Criba,Profundidad (cmbd),Volumen (m?),Operaci—n,Unidad,RELATED LOTES FROM HARRIS MATRIX,DATE C14,,Chronology group,,Elemento,Estructura,Cuarto,Relaci—n a otros lotes (estratigraf’a),Descripci—n del sedimento,Interpretaci—n cultural,Flotaci—n
499,DHS,14 VI 14,0.5,76,0.09,18,L24,,,,,,28,,,dentro del piso 3 de la Est. 18 B. Debajo de 550,"tierra limosa (10YR 3/4, dark yellowish brown)",elemento 28; fosa en piso 3 con dos candeleros y uno aldisador,
502,DHS,14 VI 14,0.5,76,0.44,18,M25,,,,,,,,,debajo de 485,"tierra arcillosa, Munsell 10YR 3/4",derrume y deslave,
576,GMB,24 VI 14,0.5,76,0.59,18,I20,,,,,,,,,debajo de 517,tierra arcillosa (10YR 5/3 - brown),nivel de ocupación con un piso de tierra compacta y muros de piedra,
619,DHS,30 VI 14,0.5,77,0.243,18,J20,,,,,,28,,,debajo de 554 en elemento,tierra limosa (10 YR 4/3-brown),fosa en piso 3; sobre de piso 4 con uno candelero,
496,DHS,14 VI 14,0.5,78,0.25,18,L25,,,,,,,,,debajo de 510,tierra arcillosa (10YR 5/3 - brown),nivel de ocupación con un piso de tierra compacta (y un parte del piso de cemento),
513,DHS,16 VI 14,0.5,78,0.23,18,K24,,,,,,,,,debajo de 476,"tierra arcillosa con algunas piedras, Munsell 10YR 3/2",derrume y deslave,
573,DHS,24 VI 14,0.5,78,0.152,18,I23,,,,,,,,,superfice,"tierra orgánica (10 YR 2/2, very dark brown)","superfice, zona de arado",
574,DHS,24 VI 14,0.5,78,0.086,18,I23,,,,,,,,,debajo de 537,tierra arenosa (10 YR 4/3 - brown) sobre un nivel de gravilla,nivel de ocupación (Piso 2 de tierra compacta) con muros de adobe y relleno de tierra arenosa,
381,DHS,29 V 14,0.5,79,0.18,18,N23,,,,,,,,,debajo de 560,"tierra limosa (10YR 3/3, dark brown)",deslave,
373,DHS,28 V 14,0.5,80,0.01,18,N21,,,,,,,,,superficie,"tierra organica arcillosa, Munsell 10YR 2/2",zona de arado,Plough zone
666,AH,8 VII 14,0.5,80,0.33,18,K9/L9,,,,,,,,,debajo de 563,"tierra arcillosa, Munsell 10YR 2/2","deslave, muro de adobe",
684,AH,10 VII 14,0.5,80,0.8,18,L10,,,,,,,,,debajo de 562,"tierra limosa (10YR 3/3, dark brown)",nivel de ocupación,
685,AH,10 VII 14,0.5,80,0.04,18,K9,,,,,,,,,debajo de 564,"tierra arcillosa, Munsell 10YR 2/2",deslave,
372,LH,28 V 14,0.5,81,0.004,18,L21,,,,,,,,,debajo de 538,tierra arenosa (10YR 4/3 - brown) sobre un nivel de gravilla,derrumbe y deslave sobre un nivel de ocupación (Piso 2 de tierra compacta y gravilla) y arquitectura de adobe,
485,DHS,12 VI 14,0.5,81,0.26,18,J21,,,,,,30,,,debajo de 567,tierra arenosa (10YR 4/3 -brown) sobre un nivel de gravilla,Elemento 30; nivel de ocupación (Piso 2),
 ,DHS,16 VI 14,0.5,81,0.456,18,N25,,,,,,,,,debajo de 561,tierra arenosa (10YR 4/3 - brown),Deslave de tierra arenosa entre muros de adobe,
579,DHS,25 VI 14,0.5,81,0.09,18,J21,,,,,,,,,debajo de 565,"en el primero parte de unidad, tierra limosa (10YR 3/3, dark brown) y entonces un cambio en el sedimento a tierra arenosa",nivel de ocupación,
503,DHS,14 VI 14,0.5,82,0.32,18,K25,,,,,,,,,debajo de 566,"tierra arcillosa con arenao, Munsell 10YR 3/2",relleno,
506,DHS,14 VI 14,0.5,82,0.225,18,L24,,,,,,,,,debajo de 567,tierra arenosa (10YR 4/3 - brown),deslave o relleno debajo un piso; nivel tiene muros de adobe,
667,GMB,8 VII 14,0.5,83,0.108,18,M9,,,,,,,,,debajo de 571,"arena de rio, Munsell 10YR 5/3",relleno,X
329,DHS,22 V 14,0.5,84,0.02,18,N21,,,,,,,,,debajo de 571,"arena de rio y tierra arcillosa compactaca, Munsell 10YR 5/3",nivel de ocupación,
382,DHS,29 V 14,0.5,84,0.03,18,N23,,,,,,32,,,debajo de 574,deposito de tecos,"Elemento 32, deposito de tecos",
558,AH,21 VI 14,0.5,84,0.2,18,J25,,,,,,31,,,debajo de 570 al oeste de unidad,tierra arenosa (10YR 3/3 - dark brown),elemento; entierro flexionada al oeste de unidad,
575,DHS,24 VI 14,0.5,84,0.002,18,I23,,,,,,,,,debajo de 569,tierra arenosa (10YR 4/3 - brown),Deslave de tierra arenosa entre muros de adobe,
580,GMB,25 VI 14,0.5,84,0.3,18,I20,,,,,,,,,debajo de 572,tierra arenosa (10YR 4/3 - brown),deslave o relleno de tierra arenosa entre muros de adobe,
603,DHS,27 VI 14,0.5,84,0.874,18,I23,,,,,,,,,debajo de 423,"base de tepetate con arena, Munsell 10YR 3/4",relleno bajo piso,
641,AH,3 VII 14,0.5,84,0.27,18,K11,,,,,,,,,debajo de 570 y alrededor de 576,"tierra arenosa (10YR 3/3, dark brown)",relleno entre de los pisos con uno candelero,
642,AH,3 VII 14,0.5,84,0.19,18,L11,,,,,,,,,debajo de 534,"arena de rio, Munsell 10YR 3/4",relleno bajo piso,
518,DHS,16 VI 14,0.5,85,0.08,18,N24,,,,,,,,,debajo de 580,"tierra arenosa (10YR 3/3, dark brown)",relleno entre de los pisos,
509,DHS,14 VI 14,0.5,86,0.08,18,J25,,,,,,,,,debajo de 582,"tierra arenosa (10YR 3/3, dark brown) al oeste de unidad; tierra arenosa muy compacta (10 YR 5/2 - grayish brown) al este de unidad;",relleno; nivel sobre de piso,
671,AH,8 VII 14,0.5,86,0.28,18,K9,,,,,,,,,debajo de 479,"tierra con arena de rio, Munsell 10YR 3/4",relleno bajo piso,
507,DHS,14 VI 14,0.5,87,0.078,18,M25,,,,,,,,,debajo de 536,"arena de rio y fragmentos de piso quemado, Munsell 10YR 3/4",relleno bajo piso,
554,GMB,21 VI 14,0.5,87,0.14,18,K23-24; L23-24,,,,,,,,,debajo de 577,tierra arenosa (10YR 4/3 - brown) y tierra arenosa (10YR 5/3 - brown) en la esquina suroeste,nivel de ocupación (Piso 3 de tierra compacta) con muros de adobe y relleno de tierra arenosa,
604,DHS,27 VI 14,0.5,87,0.418,18,J23,,,,,,,,,debajo de 578,tierra arenosa (10YR 4/3 - brown) y tierra muy arenosa (10YR 5/3 - brown) en sur y este (cerca de la arquitectura de piedra),nivel de ocupación (Piso 3) con tierra arenosa y tierra muy arenosa cerca de la arquitectura de piedra,
433,DHS/LH,5 VI 14,0.5,90,0.79,18,"M23-24, L23-24",,,,,,,,,debajo de 583,"debajo de 5 cm, un piso de modeada de coscajo - gravilla compacta (2.5 YR 2.5/4, dark reddish brown) y tierra limosa (10 YR 3/3, dark brown) y arsenosa compacta (10 YR 5/2, grayish brown). Debajo de piso es un base de piso - tierra arenosa (10YR 4/3, brown)",nivel de ocupación y apisonado igual con apisonado debajo de piso 4 en I22,
483,DHS,12 VI 14,0.5,90,0.143,18,N24,,,,,,,,,debajo de 587,tierra arenosa (10YR 4/3 - brown) y tierra muy arenosa (10YR 5/3 - brown) en sur y este (cerca de la arquitectura de piedra),relleno debajo piso 3 y entre arquitectura de piedra,
498,DHS,14 VI 14,0.5,90,0.001,18,J24,,,,,,,,,debajo de 585,"tierra arcillos del adobe y arena, Munsell 10YR 5/3",muro de adobe,
511,DHS,16 VI 14,0.5,90,0.489,18,J24,,,,,,,,,debajo de 579,"arena, tepetate molido y apisonado, Munsell 10YR 3/4","relleno y apisonado, piso 4",
590,DHS,26 VI 14,0.5,90,0.068,18,I22,,,,,,,,,debajo de 581,"arena, tepetate molido y piso, Munsell 10YR 3/4",relleno y apisonado,
592,DHS,26 VI 14,0.5,90,0.54,18,I21,,,,,,33,,,debajo de 592,"arena, Munsell 10YR 3/4","Elemento 23: caparazon de tortuga lado ventral, piedra tallada y vasija quemada",
599,DHS,27 VI 14,0.5,90,0.64,18,I22,,,,,,,,,debajo de 589,"1. tierra arenosa (10YR 4/3 - brown); 2. tierra arcillosa (10YR 3/2 - very dark, grayish brown); 3. ceniza (10YR 7/2 - light gray); 4. tierra arenosa pero un poco arcillosa (10YR 7/4 - very pale brown); 5. tierra arcillosa (10YR 5/3 - brown); 6. carbón",nivel de ocupación; posible un folcon?,X
668,GMB,8 VII 14,0.5,90,0.316,18,M9,,,,,,,,,debajo de 589,tierra arenosa (10YR 5/3 - brown) con un poco cerca del folcon (10YR 8/5 - yellowish brown) y tierra arenosa (10YR 4/3 - brown) en la esquina noroeste,relleno de tierras arenosas sobre un nivel de ocupación con Piso 4 de cemento,
500,DHS,14 VI 14,0.5,91,0.13,18,M24,,,,,,,,,debajo de 584,"arena, tepetate molido y fragmentos de piso, Munsell 10YR 3/4",relleno y apisonado,
669,AH,8 VII 14,0.5,91,0.33,18,L9,,,,,,,,,debajo de 585,"arena y tierra limosa, Munsell 10YR 3/2",relleno y apisonado,
552,DHS,19 VI 14,0.5,92,0.06,18,J22,,,,,,34,,,debajo de 595,tierra arenosa (10YR 5/3  - brown),Elemento 34; nivel de ocupación;un ocrte en Piso 4 con tierra arenosa y artefactos (vecino al folcon),
578,AH,25 VI 14,0.5,92,0.52,18,M26,,,,,,,,,debajo de 595,tierra arenosa (10YR 4/3 - brown) y un poco tierra arenosa (10YR 7/6 - yellow),nivel de ocupación; un corte en Piso 4 en la esquina noreste,
584,DHS,25 VI 14,0.5,92,0.24,18,J22,,,,,,,,,debajo de 595,tierra arenosa (10YR 3/2 - very dark grayish brown) sobre tierra arcillosa (10YR 2/2 - very dark brown),nivel de ocupación con Piso 5 de cemento (en la esquina noroeste),
385,DHS,29 V 14,0.5,93,0.13,18,N21,,,,,,,,,debajo de 574,"tierra arcillosa con arena, Munsell 10YR 5/3",relleno y apisonado,
508,DHS,14 VI 14,0.5,93,0.5,18,L25,,,,,,,,,debajo de 559,"tierra arcillosa con arena y algunas piedras, Munsell 10YR 3/3","relleno, apisonado y derrumbe",
555,DHS,21 VI 14,0.5,93,0.115,18,J21,,,,,,,,,debajo de 688,"arena y tierra muy arenosa (2.5 YR 4/3, olive green)",relleno entre apisonado (encima) y piso de concreto (abajo),
577,AH,25 VI 14,0.5,93,0.59,18,N26,,,,,,,,,superficie,"tierra organica arcillosa, Musell 10YR 2/2",zona de arado,Plough zone
582,GMB,25 VI 14,0.5,93,0.28,18,I20,,,,,,,,,superficie,"tierra organica arcillosa, Musell 10YR 2/2",zona de arado,Plough zone
620,DHS,30 VI 14,0.5,94,0.066,18,J20,,,,,,,,,debajo de 607,"tierra arcillosa, Munsell 10YR2/2",derrumbe y deslave,
553,DHS,19 VI 14,0.5,95,0.36,18,K24,,,,,,,,,debajo de 608,"tierra arcillosa, Munsell 10YR2/2",derrumbe y deslave,
510,DHS,14 VI 14,0.5,96,0.001,18,J25,,,,,,,,,debajo de 610,"tierra arcillosa, Munsell 10YR2/2",derrumbe y deslave,
517,DHS,16 VI 14,0.5,96,0.17,18,K25,,,,,,,,,debajo de 611,"tierra arcillosa, Munsell 10YR3/2",derrumbe y deslave,
543,AH,19 VI 14,0.5,96,0.5,18,L25,,,,,,,,,debajo de 612,"tierra arcillosa con arena, Munsell 10YR 3/2",derrumbe y deslave,
527,DHS,18 VI 14,0.5,97,0.45,18,L24,,,,,,,,,debajo de 613,"tierra arcillosa, Munsell 10YR3/2",derrumbe y deslave,
544,DHS,19 VI 14,0.5,97,0.001,18,I22,,,,,,,,,superficie,tierra orgánica y arcillosa (Munsell 10YR 2/2 - very dark brown),zona de arado,Plough zone
645,AH,3 VII 14,0.5,99,0.42,18,L11,,,,,,,,,debajo de 616,"tierra arcillosa con arena, Munsell 10YR 4/3",derrumbe y deslave,
514,DHS,16 VI 14,0.5,100,0.314,18,N25,,,,,,,,,debajo de 619,"tierra arcillosa con arena, Munsell 10YR 4/3",derrumbe y deslave,
520,DHS,16 VI 14,0.5,100,0.048,18,M25,,,,,,,,,debajo de 620,"tierra arcillosa con arena, Munsell 10YR 4/3",derrumbe y deslave,
557,GMB,21 VI 14,0.5,100,0.13,18,K23-24; L23-24,,,,,,,,,debajo de 621,"tierra arcillosa con arena, Munsell 10YR 4/3",derrumbe y deslave,
583,GMB,25 VI 14,0.5,100,0.84,18,I20,,,,,,,,,debajo de 622,"tierra arcillosa con arena, Munsell 10YR 4/3",relleno constructivo,
598,DHS,27 VI 14,0.5,100,0.33,18,J22,,,,,,,,,debajo de 618,tierra arcillosa (10YR 2/2 - very dark brown),nivel de ocupación con muros de piedra y Piso 1 de tierra compacta (oeste); derrumbe y deslave (este),
688,AH,10 VII 14,0.5,100,0.56,18,L10,,,,,,,,,superficie,tierra orgánica y arcillosa (Munsell 10YR 2/2 - very dark brown),zona de arado,Plough zone
484,DHS,12 VI 14,0.5,101,0.117,18,N24,,,,,,,,,superficie,tierra orgánica y arcillosa (Munsell 10YR 2/2 - very dark brown),zona de arado,Plough zone
644,AH,3 VII 14,0.5,101,0.35,18,K11,,,,,,,,,superficie,tierra orgánica y arcillosa (Munsell 10YR 2/2 - very dark brown),zona de arado,Plough zone
505,DHS,14 VI 14,0.5,102,0.21,18,M24,,,,,,,,,debajo de 603,"tierra arcillosa, arena y ceramica, Munsell 10YR 5/2",relleno de tiestos,
681,AH,9 VII 14,0.5,102,0.4,18,L9,,,,,,,,,debajo de 625,tierra arcillosa (Munsell 10YR 2/2 - very dark brown),nivel de ocupación con muros de piedra y Piso 1 de tierra compacta (oeste); derrumbe y deslave (este),
630,DHS,1 VII 14,0.5,104,0.777,18,I23,,,,,,,,,debajo de 626,tierra arcillosa (10YR 2/2 - very dark brown),zona de arado con derrumbe y deslave sobre un nivel de  ocupación con Piso 1 de tierra compacta,Plough zone with collapse and mudslide
556,AH,21 VI 14,0.5,105,0.16,18,K25,,,,,,,,,denajo de 627,tierra arcillosa (10YR 2/2 - very dark brown),nivel de ocupación con un muro de piedra y Piso 1 de tierra compacta,
593,DHS,26 VI 14,0.5,105,0.001,18,I21,,,,,,,,,debajo de 630,"tierra arenosa, Munsell 10YR 5/2",relleno ,
473,DHS,11 VI 14,0.5,107,0.17,18,N25,,,,,,,,,debajo de 634,"tierra arenosa, apisonado y arena Munsell 10YR 5/2",relleno,
647,DHS,3 VII 14,0.5,107,0.43,18,I22,,,,,,,,,debajo de 631,tierra arcillosa (10YR 2/2 - very dark brown),nivel de ocupación con muros de piedra y Piso 1 de tierra compacta (oeste); derrumbe y deslave (este),
519,DHS,16 VI 14,0.5,110,0.13,18,N24,,,,,,,,,debajo de 624,tierra arcillosa (10YR 2/2 - very dark brown),nivel de ocupación con muros de piedra y Piso 1 de tierra compacta (oeste); derrumbe y deslave (este),
523,DHS,18 VI 14,0.5,112,0.12,18,M24,,,,,,,,,debajo de 635,"arena, Munsell 10YR 5/2 y cascajo Munsell 10R 4/8 (red)",relleno,
551,AH,19 VI 14,0.5,112,0.001,18,L25,,,,,,,,,debajo de 637,"tierra arenosa (Munsell 10YR 3/2 - very dark, grayish brown) con piedras en el lado este",nivel de ocupación con muros de piedra y Piso 1 de tierra compacta (oeste); derrumbe y deslave o relleno (este),
621,DHS,30 VI 14,0.5,112,0.06,18,J20,,,,,,,,,debajo de 636,"tierra arenosa (Munsell 10YR 3/2 - very dark, grayish brown)",nivel de ocupación con muros de piedra y Piso 1 de tierra compacta (oeste); derrumbe y deslave o relleno (este),
384,DHS,29 V 14,0.5,115,0.001,18,N23,,,,,,,,,debajo de 641,"tierra arenosa (10YR 3/2 - very dark, grayish brown)",nivel de ocupación con muros de piedra y Piso 1 de tierra compacta (oeste); derrumbe y deslave o relleno (este),
586,AH,26 VI 14,0.5,115,0.46,18,N26,,,,,,,,,debajo de 642,"tierra arenosa (10YR 3/2 - very dark, grayish brown)",nivel de ocupación con muros de piedra y Piso 1 de tierra compacta (oeste); derrumbe y deslave o relleno (este),
587,AH,26 VI 14,0.5,116,0.67,18,M26,,,,,,,,,debajo de 643,S: tierra limosa compactada Munsell 10YR 5/3 N: Munsell 10YR 3/2,nivel de ocupacion con relleno,
663,GMB,8 VII 14,0.5,116,0.42,18,M11,,,,,,,,,debajo de 599,"tierra arenosa, Munsell 10YR 4/3",relleno,
434,DHS/LH,5 VI 14,0.5,121,0.43,18,"M23-24, L23-24",,,,,,,,,superfice,tierra orgánica y arcillosa (10YR 2/2),"superfice, zona de arado",
588,GMB,26 VI 14,0.5,121,0.48,18,I20,,,,,,,,,superficie,tierra orgánica y arcillosa (Munsell 10YR 2/2 - very dark brown),zona de arado,Plough zone
656,DHS,7 VII 14,0.5,121,0.471,18,I22,,,,,,,,,superficie,"tierra organica arcillosa, Munsell 10YR 2/2",zona de arado,Plough zone
622,DHS,30 VI 14,0.5,125,0.096,18,J20,,,,,,,,,debajo de 650,tierra arcillosa (10YR 2/2 - very dark brown),nivel de ocupación (con una parte de Piso 1 en este) debajo de deslave de tierra arcillosa,
634,DHS,2 VII 14,0.5,127,0.064,18,I23,,,,,,35,,,debajo de 651,tierra arcillosa (10YR 2/2 - very dark brown),Elemento 35; nivel de ocupación (Piso 1 en este y sur) debajo de deslave de tierra arcillosa,
635,DHS,2 VII 14,0.5,131,0.388,18,I23,,,,,,,,,debajo de 651 lado N del muro,"tierra arcillosa, Munsell 2/2",deslave,
660,DHS,7 VII 14,0.5,132,0.91,18,I22,,,,,,,,,debajo de 649,tierra arcillosa (10YR 2/2 - very dark brown),nivel de ocupación al oeste; deslave o relleno al este,
606,GMB,28 VI 14,0.5,133,0.764,18,I20,,,,,,,,,debajo de 647,"tierra y abundantes tiestos, Munsell 10YR 4/3","relleno, basurero",
589,AH,26 VI 14,0.5,136,0.81,18,M26,,,,,,,,,superfice,tierra orgánica y arcillosa (10YR 2/2 - very dark brown),"superfice, zona de arado",
623,DHS,30 VI 14,0.5,137,0.035,18,J20,,,,,,,,,superfice,tierra orgánica y arcillosa (10YR 2/2 - very dark brown),"superfice, zona de arado",
422,LH,2 VI 14,0.5,138,0.1328,18,J21,,,,,,,,,debajo de 657,"tierra arcillosa (10YR 2/2 - very dark brown) En esquina NE, arena sobre de apisonado (10YR 3/4 - dark yellowish brown)","nivel de ocupación, apisonado",
435,DHS/LH,5 VI 14,0.5,138,0.4,18,"M23-24, L23-24",,,,,,,,,debajo de 656,"tierra arenosa y arcillosa, Munsell 10YR 4/3",relleno,
640,DHS,3 VII 14,0.5,142,0.583,18,I23,,,,,,,,,debajo de 658,tierra arcillosa (10YR 2/2 - very dark brown),nivel sobre de piso,
380,DHS,29 V 14,0.5,156,0.71,18,M21,,,,,,,,,debajo de 655 al este de muro,tierra arcillosa (10YR 2/2 - very dark brown),oeste parte es un piso 1 - no excavado; este parte es deslave o relleno,
646,DHS,3 VII 14,0.5,159,0.3,18,I23,,,,,,,,,debajo de 662 al este de muro,tierra arenosa (10YR 2/2 -very dark brown),al este de unidad - deslave or relleno,
594,AH,27 VI 14,0.5,160,0.01,18,M26,,,,,,,,,debajo de 660,"tierra arcillosa con arena, Munsell 10YR 5/2",relleno,
595,AH,27 VI 14,0.5,160,0.56,18,M26,,,,,,,,,debajo de 646,"tierra arcillosa, Munsell 10YR 3/2",deslave,
664,DHS,8 VII 14,0.5,163,0.376,18,I22,,,,,,,,,debajo de 652 y 653,tierra arcillosa (10YR 2/2 - very dark brown) (norte) y tierra arcillosa (10YR 4/4 - dark yellowish brown) (sur de L9 y norte de K9),nivel de ocupación con un piso (Piso 2) erosionado sobre base de tepetate,
680,DHS,9 VII 14,0.5,172,0.504,18,I23,,,,,,,,,debajo de 659,tierra arcillosa (10YR 2/2 - very dark brown) al sur de unidad,base de piso 2; nivel de ocupación al sur de unidad,
600,AH,27 VI 14,0.5,174,0.001,18,M26,,,,,,,,,debajo de 667,tierra arenosa moldeada (10YR 2/2 - very dark brown y 10 YR 5/2 - grayish brown),"nivel de ocupación, nivel sobre de piso 3",
601,AH,27 VI 14,0.5,174,0.005,18,M26,,,,,,,,,debajo de 666,tierra arcillosa (10YR 4/4 - dark yellowish brown),piso 3 y base de piso,
602,AH,27 VI 14,0.5,174,0.34,18,M26,,,,,,,,,debajo de 646,"tierra arcillosa con arena, Munsell 10YR 4/3",relleno,
686,DHS,10 VII 14,0.5,180,0.495,18,I22,,,,,,,,,debajo de 666,tierra arenosa (10YR 4/4 - dark yellowish brown),piso 3 y base de piso,
665,DHS,8 VII 14,0.5,187,0.384,18,I23,,,,,,,,,superfice,tierra orgánica y arcillosa (10YR 2/2 - very dark brown),superfice; zona de arado,
670,DHS,8 VII 14,0.5,187,0.234,18,I23,,,,,,,,,debajo de 665,"tierra arcillosa con arena, Munsell 10YR 4/3",relleno,
383,DHS,29 V 14,0.5,205,0.5,18,M21,,,,,,,,,debajo de 67-,"tierra limosa, Munsell 10YR 4/3 barro negro, Munsell 10YR 3/2","relleno, primera ocupacion sobre el tepetate",
673,DHS,8 VII 14,0.5,210,0.21,18,I23,,,,,,,,,superfice,tierra orgánica y arcillosa (10YR 2/2 - very dark brown),superfice; zona de arado,
674,DHS,8 VII 14,0.5,216,0.144,18,I23,,,,,,,,,debajo de 675,tierra arcillosa (10YR 2/2 - very dark brown),nivel debajo de piso 1 y base de piso,
687,DHS,10 VII 14,0.5,227,0.436,18,I23,,,,,,,,,debajo de 672,tierra arenosa (10YR 2/2 - very dark brown),al oeste de unidad - base de piso 1; al este de unidad - relleno de tepetate,
678,DHS,9 VII 14,0.5,228,0.036,18,I23,,,,,,,,,debajo de 673,"barro negro, Munsell 10YR 3/2",suelo natural preteotihuacano,
689,DHS,10 VII 14,0.5,257,0.265,18,I23,,,,,,,,,debajo de 664,"bloque de tierra arcillosa, Munsell 10YR 5/2",relleno,
539,DHS,19 VI 14,0.5,82 y 92,0.001,18,I22,,,,,,,,,debajo de 643,"piso de tepetate molido con base de tierra arenosa, Munsell 10YR 3/2",piso bajo estructura con hoyos para postes y relleno,
655,GMB,5 VII 14,0.5,oeste: 48,0.718,18,M11,,,,,,,,,debajo de 669,tierra arcillosa (10YR 2/2 - very dark brown) y una parte de arena (10YR 6/3 - pale brown),una moldeada de tierra arcillosa; piso 3 y base de piso,
300,GMB/DHS,15 V 14,no,Superficie,0,18,18 SE,,,,,,,,,debajo de 632,tierra limosa (10YR 3/4 - dark yellowish brown) y arena (10YR 6/3 - pale brown),Piso 1 y base de piso,
301,GMB/DHS,15 V 14,no,Superficie,0,18,18 NE,,,,,,,,,debajo de 671,tierra limosa (10 YR 3/3 - dark brown) con arena (10YR 6/3 - pale brown),piso de pigmento rojo y base de piso,
302,GMB/DHS,15 V 14,no,Superficie,0,18,18 SW,,,,,,,,,debajo de 682,tierra limosa (10YR 3/4 - dark yellowish brown) y arena (10YR 6/3 - pale brown),Relleno,
303,GMB/DHS,15 V 14,no,Superficie,0,18,18 NW,,,,,,37,,,debajo de 683,tierra limosa (10YR 3/4 - dark yellowish brown) y arena (10YR 6/3 - pale brown),Elemento 37; hoyo en piso,
444,DHS,7 VI 14,no,Superficie,0.32,18,L25,,,,,,,,,debajo de 664,"arena y tierra arcillosa, Munsell 10YR 5/2","contexto de elemento, relleno",
445,DHS,7 VI 14,no,Superficie,0.2,18,K25,,,,,,36,,,debajo de 80,"tierra arcillosa y entierra, Munsell 10YR 3/2","Elemento 36, entierro animal y huesos humanos",
446,DHS,7 VI 14,no,Superficie,0.2,18,J25,,,,,,,,,debajo de 684,tierra limosa (10YR 3/4 - dark yellowish brown) y arena (10YR 6/3 - pale brown),Relleno,
438,LH,5 VI 14,0.5,,0.002,18,L21,,,,,,,,,debajo de 687,tierra arcillosa y tepetate,primera ocupacion sobre el tepetate,
